user,VIP,dynamic,foucs,fans,district,listen_songs,acclaim,comment,time,content
陈宇_落雁,True,4,6,4,河北省 - 沧州市,1894,2,0,2020-05-25 16:01:13,调子和笑忘书好像啊[呆]
小透明阿娟,True,1,7,8,广东省 - 深圳市,2938,0,0,2020-05-25 11:18:06,这首歌的转音好好听
该昵称已被占用了你晓不晓得,True,9,13,3,江苏省 - 南京市,2821,1,1,2020-05-25 08:20:29,是对方不够爱使你没有安全感的，对的人使你明媚
该昵称已被占用了你晓不晓得,True,9,13,3,江苏省 - 南京市,2821,1,0,2020-05-25 08:19:18,爱是愚人自愚
嘘要飞了,False,3,18,8,,2327,1,0,2020-05-24 19:44:00,突然想到一句话：原来你喜欢花啊原来你喜欢我啊……
毛豆小姐_阿_,False,2,2,1,河北省 - 承德市,2072,0,1,2020-05-24 19:25:36,9年了
红胡颓子酱,False,432,67,25,上海市 ,9630,0,1,2020-05-24 18:38:27,深更半夜只适合睡觉，听歌太费眼泪了哈
大白兔奶糖mi,False,0,15,1,,2106,3,0,2020-05-24 13:07:15,小时候听孙燕姿的歌:好难听，现在:抽死我吧[大哭][大哭]
歆婷-,False,8,15,2,海外 - 其它,3782,1,0,2020-05-24 10:12:40,小丑🤡
荣荣66666_yBGI,True,1,4,0,湖南省 - 长沙市,428,1,0,2020-05-24 04:39:30,愚人的国度
谁是山风,True,7,171,15,,5521,2,0,2020-05-23 22:51:27,月亮小七
有事问春风a,False,1,8,5,甘肃省 - 兰州市,4453,1,1,2020-05-23 17:49:16,我的歌单里     想自由下一首就是这个
尛果冻er,False,1,11,20,山西省 - 运城市,5477,0,0,2020-05-23 10:24:18,一直很喜欢的一首歌
-小胡小胡糊里糊涂_,False,35,25,9,广东省 - 广州市,1556,1,1,2020-05-23 09:44:00,神奇的不是音乐 是经历
西西-yu,False,3,8,1,黑龙江省 - 哈尔滨市,4179,1,0,2020-05-22 23:14:13,喜欢一个人太久，慢慢成为了习惯，渐渐失去了喜欢别人的能力，我喜欢你也讨厌你。
輕糅,False,2,12,0,山东省 - 泰安市,1301,1,1,2020-05-22 22:23:32,现在2020年，九年了（我没算错吧，小声逼逼）
温风与歌,True,1,4,1,,1523,1,0,2020-05-22 22:19:24,我们都回不去最初
janeyzy_,True,0,6,0,新疆 - 乌鲁木齐市,2335,0,0,2020-05-22 21:27:41,“世界和平 人人幸福”再见希望我能鼓起勇气
偶尔上网丶,False,1,5,4,,1975,10,1,2020-05-22 20:25:40,很喜欢《人间失格》里的一段话：先穿袜子再穿鞋，先当孙子后当爷。
0717号小星球的电台,False,42,4,4,,1681,0,0,2020-05-22 14:23:25,[多多大哭]好听👍🏻
言傅,True,6,135,15,浙江省 - 嘉兴市,3033,0,0,2020-05-21 22:19:36,第一次听这首歌是在看鬼吹灯时……一直循环的听，已过去多年 现在听到 依然感到不寒而栗 也对过去历历在目
吃饱了吗你今天,False,3,3,0,陕西省 - 西安市,1617,0,1,2020-05-21 21:16:59,应该是fire fly
吃饱了吗你今天,False,3,3,0,陕西省 - 西安市,1617,0,1,2020-05-21 21:14:57,有点像free fly
阿哈哈哈六,False,7,4,2,广东省 - 广州市,12353,3,0,2020-05-21 19:30:18,2020年的5月20号凌晨十二点十一分，我被宣布分手。已经哭了不知道多少次，我的不知所措，我的焦虑不安，我...只是感觉呼吸不了，心里痛...
奀恝,True,6,0,23,湖南省 - 长沙市,8711,0,1,2020-05-21 15:51:13,过完了，我的那年愚人节
Kumisu,True,7,26,42,,11216,0,0,2020-05-21 14:10:46,别说永远 永远让我绝望
WeightXI,False,0,16,1,湖北省 - 武汉市,6284,0,1,2020-05-21 11:24:59,会好哒
白糖菁大亨,False,0,19,1,浙江省 - 杭州市,826,1,1,2020-05-20 20:42:31,你要同情他，少了欣赏的细胞！
allergicsoul,True,13,28,25,,12846,3,1,2020-05-20 00:15:46,只有第一句出现过，后面那几句连业余知乎儿都能写出来。
千百惠l,True,1,2,181,,12082,2,0,2020-05-19 23:40:29,越长大越孤独 懂自己的人就越少
Je-vais-attendre-pour-vous,True,52,20,6,湖南省 - 常德市,7052,1,0,2020-05-19 21:20:50,对我来说 网易云是我唯一可以正大光明怀恋你的地方了 我亲爱段先生
执拗的一枚戳屎,False,1,14,20,,4844,0,0,2020-05-19 21:17:42,总有一首歌在一个时期被单曲循环
怡宝儿_YI,False,3,7,1,广东省 - 广州市,746,0,0,2020-05-19 19:42:04,我多希望一开始你就告诉我，你有另一个暧昧对象而不是让我困于一地荒芜，愚己的国度
要554427,False,7,6,4,广东省 - 佛山市,1248,0,1,2020-05-19 10:16:05,嘻嘻嘻昨天刚出来
不纠结的纠纠,False,0,5,2,湖南省 - 长沙市,3093,0,0,2020-05-19 09:35:06,好一首催泪瓦斯
bad草莓酱,True,0,5,5,黑龙江省 - 哈尔滨市,1190,0,1,2020-05-18 20:48:14,哇 6年前的评论
bad草莓酱,True,0,5,5,黑龙江省 - 哈尔滨市,1190,1,1,2020-05-18 20:46:05,谢谢
德威什不会做梦,False,0,21,3,四川省 - 宜宾市,4482,1,1,2020-05-18 17:41:36,九年了
胆小又好色,True,36,8,13,天津市 ,8296,3,0,2020-05-18 15:29:34,走弯路的人是不是都会后悔？弯路也会有终点 只是走到一半就放弃的人一定会后悔
小四句,False,33,29,10,四川省 - 成都市,1472,1,1,2020-05-18 14:15:03,好像就是人间失格里的
往海的深处听,False,3,60,10,上海市 ,11560,0,0,2020-05-18 13:50:57,高中时候参加唱歌比赛 当时最好听的应该就是一个学姐唱的这首歌 所以每每听到的时候总觉得回到了高中时光
小肯尼尼,True,4,76,154,上海市 ,2672,0,1,2020-05-18 12:50:30,哈哈我也分手了 点开了这首！
法譬如水,False,30,7,1,上海市 ,1283,2,0,2020-05-18 01:30:29,轮回在愚人的国度，偏执地相信自欺欺人的幸福，奉行着加缪的名言-当人们一旦有机会强烈爱过，就将毕生追求那种热情和光明，放弃美，放弃与美相连的幸福，专一的为不幸效劳，这要求一种我所缺乏的崇高。自我咀嚼着青春离奇的百转回肠，然后伴随着一滴滴热泪一饮而尽，给潮湿已久的心些许温暖与抚慰。
zhuangliangji1992,False,1,13,8,北京市 ,7886,1,0,2020-05-17 14:47:38,我们都回不去最初
鸽子王龟龟-看我Mlog有惊喜,False,72,87,13,广东省 - 广州市,3791,4,1,2020-05-17 13:03:47,不要紧张，只是觉得像也很正常。。。并不是别的意思
你用头脑换垃圾吗,True,7,8,6,,1001,1,1,2020-05-17 12:57:45,“闲云，牛马，杀人刀。”
于路_,False,1,22,6,辽宁省 - 大连市,2166,5,1,2020-05-17 09:39:23,写成这样的话…那就是个三流网络小说…别侮辱人间失格了
叉子在勺子的左边,True,115,33,15,,5161,3,0,2020-05-17 07:05:36,老歌就是好听
谷口贵幸,False,140,11,13,,6337,3,0,2020-05-16 23:51:20,喜欢听歌和喜欢唱歌是不一样的
杨先生loveu,False,1,5,2,广东省 - 阳江市,509,0,1,2020-05-16 23:45:27,个人选择都是自由
道德赋,True,1,26,4,广东省 - 深圳市,2043,1,0,2020-05-16 22:57:10,一旦注意到了吸气声就再也没办法好好听这首歌…
Es丶tive丶milu,False,1,15,9,吉林省 - 通化市,7607,0,0,2020-05-16 22:40:51,转晕了
小赵铁柱,False,1,16,6,福建省 - 漳州市,4547,0,1,2020-05-16 17:01:32,现在怎么样阿
浪游1874,True,3,11,7,内蒙古 - 呼和浩特市,1905,1,0,2020-05-16 08:56:10,愛是愚人的國度。
浪游1874,True,3,11,7,内蒙古 - 呼和浩特市,1905,0,1,2020-05-16 08:55:37,十年了
我不是个过客,False,3,30,18,,11347,4,0,2020-05-16 07:28:29,怎么会这么好听
思凡za,False,1,17,0,河南省 - 郑州市,3965,4,0,2020-05-15 16:25:53,当初初恋时的确智商变为零了，听了这首歌很有感触
我不是个过客,False,3,30,18,,11347,0,0,2020-05-15 09:03:29,第一遍就爱了，越听越爱
思凡_F,False,0,16,4,,4436,0,0,2020-05-15 00:30:37,我在跟拼四胎的妈妈冷战 现在我不知道是我可怜 还是她可怜
欢喜三生,False,0,4,0,湖南省 - 长沙市,2654,1,0,2020-05-14 23:46:29,不明不白的开始，不明不白的结束，可笑我连结束的理由都不知道，可悲
你好--Y,False,0,2,1,河南省 - 新乡市,1482,0,0,2020-05-14 22:50:17,爱是愚人的国度  结局  是笑  是哭
桜咲子,False,1,22,7,浙江省 - 杭州市,5007,1,0,2020-05-14 21:27:06,阿成哥，我真的好喜欢你啊。可是，你总是让我患得患失，怅然忧愁。我有时小心翼翼，有时委屈求全，又有时敏感善妒。这不是我啊，我不该是乐观阳光善良豁达的吗。我到底该用怎样的爱来兼容你呢。原本，我要的是平等是你的偏爱啊。可我好像也舍不得退出…
秋河61,True,2,33,7,广东省 - 珠海市,8409,0,0,2020-05-14 20:33:51,这首歌竟然不是会员才能听的[色][色][色]
云卷云舒的小眼睛,True,3,1,1,河南省 - 周口市,9963,0,0,2020-05-14 20:24:42,第125遍
江海不渡_我自渡,False,1,12,10,江西省 - 赣州市,4637,0,1,2020-05-14 16:55:41,[大哭]翻着翻着就翻到了啊
6日妹,False,0,11,1,广东省 - 广州市,4480,0,0,2020-05-14 16:30:00,我哭了QAQ
你离开了南京_从此没人和我说话,False,27,84,16,贵州省 - 贵阳市,9076,0,1,2020-05-14 15:19:11,九年了。
凌晨弎点钟,False,8,138,12,,4841,0,1,2020-05-14 13:25:17,前奏，天哪，每次听都想哭T﹏TT﹏T
寒暑不语春秋,False,3,4,2,广西 - 南宁市,1864,1,0,2020-05-14 10:07:57,好听缺不火说的是你吧
九月______________________,False,0,50,24,云南省 - 曲靖市,1899,2,0,2020-05-14 06:00:10,现在的年轻的人，每当看到别人甜蜜的爱情，心里涌起的竟不是感动和祝福，而满满的酸，只会大声嚷着虐狗。
绿水悠悠1708,False,0,3,3,山东省 - 济南市,230,0,0,2020-05-13 23:21:56,无法自拔
澄瀟渟,True,192,7,2,,3260,0,0,2020-05-13 23:17:05,好听！就是伤感[多多捂脸]今天我妈发现我一个秘密[多多大笑]想起初中的时候喜欢看漫画，那种一套二十来本那种[多多笑哭]可是她不让我看，我就偷偷看，美其名曰复习功课，熬着夜看，然后早上起来卷在被子里叠好，哈哈……然而~放学回来看到漫画书在书桌上[多多捂脸][多多捂脸]我妈还是我妈啊！
Shavengu,True,0,0,6,,4070,1,0,2020-05-13 21:35:52,我困于一地荒芜，愚己的国度。
自习室娱乐,False,45,1,15,浙江省 - 杭州市,13567,0,0,2020-05-13 21:10:56,睡觉时候满脑子都是这首歌
Q-欢颜,True,5,5,2,,5159,1,0,2020-05-13 18:26:32,所有人都以为你好起来了，但只有你自己知道，阴影就是阴影 ，就像不会愈合的伤疤，它不会结疤一直都是钻心的疼…
来日晚安,True,105,167,22,,10117,0,0,2020-05-13 17:54:01,回忆也是美好的愚弄吧
zf_阿飛,False,30,2,15,吉林省 - 长春市,9170,1,0,2020-05-13 16:13:13,结局 是笑 是哭
Shawnkkay,False,110,36,13,,2400,0,0,2020-05-13 01:13:43,晚安
橙婳,True,10,2,4,海外 - 荷兰,9539,1,0,2020-05-12 17:27:52,不要叫醒装睡的人 退场的时候也要体面些
网易云音乐脑白金用户,True,12,12,7,,4474,0,1,2020-05-12 13:17:53,期待楼主下次再来[可爱]
悦见l,False,0,7,1,重庆市 ,1395,0,1,2020-05-12 13:10:44,我们班7对
Jessicajiujiu,False,31,5,3,广东省 - 广州市,4345,5,0,2020-05-12 11:22:09,士之耽兮，犹可说也。女之耽兮，不可说也。
终_奣,True,7,46,9,浙江省 - 杭州市,7331,1,0,2020-05-12 02:16:34,神仙姐姐
心裡美,False,129,56,11,辽宁省 - 大连市,6708,1,0,2020-05-12 00:58:57,晚上看到一个词“单性恋”，只爱不爱自己的人。说的好像我。
掐你月巴脸,False,0,6,0,四川省 - 达州市,1320,1,1,2020-05-11 22:52:27,梁静茹离婚了
掐你月巴脸,False,0,6,0,四川省 - 达州市,1320,2,1,2020-05-11 22:52:11,别诬陷
i最远的距离,False,3,4,86,湖南省 - 长沙市,8431,1,1,2020-05-11 22:33:41,Java  在此
君心我心3364,False,28,38,8,山东省 - 聊城市,2438,1,0,2020-05-11 22:22:56,我不懂 我不哭
中二疯不觉,False,0,13,2,四川省 - 成都市,7404,1,0,2020-05-10 20:50:43,真的难听……
Ialiew-,True,0,2,18,海外 - 玻利维亚,6930,4,0,2020-05-09 23:23:53,“你我登船，送命或寻欢。”
_-平凡,True,1,3,2,四川省 - 成都市,938,0,1,2020-05-09 21:09:35,你说的有道理
我在oilllyf,False,1,11,0,湖南省 - 郴州市,1968,0,1,2020-05-09 18:03:22,初中我们班5对  到高中一对都没有了
大旺喵咪,True,74,74,20,江苏省 - 南京市,13515,0,1,2020-05-09 16:46:44,哈哈哈，老实人，不给人装逼的机会，鄙人喜欢[奸笑]
谢俞同学,False,0,5,1,海外 - 日本,186,1,0,2020-05-09 16:20:31,渣男语录：那种感觉提不上来
听语,False,7,34,21,湖南省 - 长沙市,9634,0,0,2020-05-09 14:17:59,原来又有版权了，谢谢网易云
谁的小蔚蔚,True,0,7,3,,2730,0,1,2020-05-09 13:52:23,你咋翻到的呀
老天爸爸最喜欢的崽,True,0,5,2,广东省 - 深圳市,6753,0,1,2020-05-09 03:43:40,2020.5.9号啦，找到了没[憨笑]
王维卓的五味子,False,5,84,2,陕西省 - 西安市,10157,1,0,2020-05-09 00:18:32,燕姿的歌真是每一首都好听！
梦里梦她后知后觉后想念,False,0,3,1,安徽省 - 六安市,132,0,1,2020-05-09 00:02:50,谢谢啦
bolijigua,True,3,93,2,,6092,0,1,2020-05-09 00:01:04,运动 出汗
某某某某乔,False,9,5,8,四川省 - 成都市,5656,0,0,2020-05-08 23:47:34,人呐，最怕突然就听懂了一首歌
江海不渡_我自渡,False,1,12,10,江西省 - 赣州市,4637,0,1,2020-05-08 21:32:31,会过去了，有些事不用急着去解决，过好自己的当下就好了，一切都可与你无关
禾禾是禾禾,False,0,9,2,甘肃省 - 天水市,1684,0,1,2020-05-08 19:03:59,是的
禾禾是禾禾,False,0,9,2,甘肃省 - 天水市,1684,0,0,2020-05-08 19:01:46,我那么喜欢孙燕姿，但这首歌，我才刚刚听懂
惊魂记_ETur,True,1,4,0,江苏省 - 无锡市,1860,1,0,2020-05-08 13:33:33,不懂什么是爱，只在乎刹那的芳华
你的可乐瓶子掉了,True,3,13,2,贵州省 - 贵阳市,2851,1,1,2020-05-08 13:06:48,我也是哈哈哈哈
高祎寒,True,4,4,1,海外 - 冰岛,3390,0,1,2020-05-08 13:03:36,最合适的恋情
高祎寒,True,4,4,1,海外 - 冰岛,3390,0,1,2020-05-08 13:01:09,面对最喜欢的人的时候总是关注她的点滴，她接触的每一个异性都让我很酸酸的
有没有一首歌会让你想起我-_-,False,16,6,12,湖南省 - 衡阳市,4153,0,1,2020-05-08 00:33:36,好听！
夢潔mj,False,2,7,0,江西省 - 南昌市,1772,1,0,2020-05-07 17:21:26,又崩溃了一次 还是放不下 什么都没用 人家在往前走 我在一次次地陷下去
要554427,False,7,6,4,广东省 - 佛山市,1248,0,1,2020-05-07 13:12:20,好[色]
艾欣1711,False,0,5,0,浙江省 - 杭州市,802,0,1,2020-05-07 11:40:17,我还想半天，书里这句话在哪个地方？说的啥？[多多捂脸]
某某某某乔,False,9,5,8,四川省 - 成都市,5656,0,0,2020-05-06 19:00:46,这首歌好好听啊
-方知秋深,False,56,21,23,陕西省 - 西安市,7882,21,0,2020-05-06 11:16:40,不主动就是答案，没有回应就是拒绝。还等什么呢？
WeightXI,False,0,16,1,湖北省 - 武汉市,6284,1,0,2020-05-05 23:51:18,回复Astro神神：会过去的。
清坐到三更,True,3,7,19,海外 - 委内瑞拉,4780,1,1,2020-05-05 23:35:45,九年了
流浪者--影,False,0,8,2,,1008,2,0,2020-05-05 22:59:10,世间草木皆美，人不是。中药很苦，你也是。
慎独_erxy,False,22,81,10,浙江省 - 绍兴市,1685,0,0,2020-05-05 22:27:30,爱情不是比赛，也不是比较不是衡量，只是我们都不懂爱罢了
eisineier,False,2,12,1,江苏省 - 镇江市,2197,3,1,2020-05-05 19:32:09,祝你们永远快乐
乔嘻嘻嘻y,False,0,0,0,,3511,0,1,2020-05-05 14:51:16,哈哈
梦里梦她后知后觉后想念,False,0,3,1,安徽省 - 六安市,132,1,1,2020-05-05 11:53:33,谢谢啦
不拎,True,0,4,3,上海市 ,2688,0,1,2020-05-05 10:38:21,养狗，运动，看医生。
-疋月-,False,33,8,6,湖北省 - 武汉市,4159,0,1,2020-05-05 09:30:13,看医生吃药 别死
温特茶包,False,0,32,22,,5382,0,0,2020-05-05 01:16:10,不要推了，我收藏的好辛苦。
Astro神神,False,115,33,3,,3735,1,1,2020-05-04 23:55:53,太难了
梦里梦她后知后觉后想念,False,0,3,1,安徽省 - 六安市,132,0,0,2020-05-04 23:44:16,诸位老铁，我得了抑郁症，该怎么办。求解
她ta清扬婉兮,True,1,14,2,福建省 - 三明市,1019,5,0,2020-05-04 20:04:18,我太爱一个人了 ，爱了三年 ，爱得太满 ，却换来了一句“你走吧 ，我有需要我等的人了”
锦时_1991,False,0,6,1,陕西省 - 西安市,2649,0,1,2020-05-04 17:08:27,好羡慕，好好在一起呦，从校服到婚纱~
outsider-yuyin,False,52,19,5,河南省 - 郑州市,4900,0,0,2020-05-04 09:15:23,我和你的恋爱里，你总是太过理性，但是喜欢一个人不是会有冲动的吗?我不喜欢太过流程的爱情，你说你爱我，我却感受不到。我想让你给我打一个电话，你说不方便，我恳求加强迫，你还是听从你自己的意愿，并且让我理解你。我何必挣这一口气，你又何必不能让我一下呢。
WeightXI,False,0,16,1,湖北省 - 武汉市,6284,0,1,2020-05-03 21:59:21,其实这一辈子说长也不长呢，为什么一定要让自己伤痕累累呢？何必。所以，罢了，管好自己，别再肆意心动，也就少受点不该有的狼狈吧。
鸿门咒,True,18,139,20,湖南省 - 长沙市,6223,0,0,2020-05-03 14:43:30,这两天的日推全给我听初中 高中听的歌，是提醒我真的老了吗？[大哭] recess
_Lavita,False,12,20,6,,1934,1,0,2020-05-03 14:10:01,你遗憾么 全都是你自己选的
云云云云流,False,19,77,7,湖南省 - 衡阳市,3260,0,1,2020-05-02 20:21:20,你也太可爱了吧😊
我也曾想取个好名字,False,0,5,0,湖南省 - 娄底市,4823,1,0,2020-05-02 16:05:37,我知道啊 你是愚人 你是国度
killmethen,True,2,63,3,江苏省 - 南京市,1359,0,1,2020-05-02 13:51:14,嗯啊
做一颗太阳,False,3,7,3,,3778,1,0,2020-05-01 23:12:24,剧情是哭。
泡芙小姐爱阿信,False,0,4,0,北京市 ,341,1,0,2020-05-01 23:03:53, MV我连续看了好多遍，很有带入感，音乐很有层次感
D-璃歌歌,False,0,25,2,江苏省 - 南京市,1185,0,1,2020-05-01 10:42:09,问世间情为何物……，爱多了伤多了会好的。因为真的，习惯了，然后会伪装成刺猬
铜豆鼻塞,True,0,9,0,湖南省 - 长沙市,276,0,0,2020-05-01 08:24:09,@小桥190801 好听
We1lezs,False,0,5,2,山东省 - 德州市,1015,1,0,2020-05-01 07:54:56,嗓音好好听
薄雪GAO,True,68,31,214,陕西省 - 宝鸡市,9159,1,0,2020-04-30 22:17:31,日推
Tonlng,False,0,2,0,山东省 - 滨州市,656,6,1,2020-04-30 21:21:38,最后走到一起的太少了
你看我多乖多聪明多么听话_,True,11,64,6,河南省 - 郑州市,8558,0,1,2020-04-30 13:21:35,Java是世界上最好的语言  手动狗头
豆芭鬼,False,33,67,22,浙江省 - 杭州市,4743,1,0,2020-04-30 10:27:40,爱是愚人的国度~
加一就加一,False,0,1,1,浙江省 - 温州市,983,0,0,2020-04-30 10:23:01,大学在ktv里再唱这首歌，大家都很轻松，他们不知道这是我六年来第一次再敢听，我也不知道那时恋爱中的我唱起来依然痛苦
晓云志,False,2,15,2,香港 ,3250,0,1,2020-04-30 10:19:33,没有错不错，只有穷不穷，富不富
YAMUM,True,37,9,3,,8335,0,1,2020-04-30 09:41:26,哈哈哈哈
对-没颜值,False,7,3,0,山东省 - 青岛市,6823,4,0,2020-04-30 09:18:55,求求你了，放过我吧，我已经快承受不住……                                                        我一直都没有抓住你啊，是你自己不愿意放过自己。
球球-0103,False,0,10,2,重庆市 ,939,7,0,2020-04-29 21:49:56,爱是愚人的国度 看我们演的好辛苦
氷靑,True,2,5,22,山东省 - 济南市,20540,1,0,2020-04-29 20:56:33,还是老哥好听
ghostlove_,True,256,109,20,,4079,5,0,2020-04-29 14:54:58,其实我一直悲观，只是习惯用乐观来安慰自己
紫夢有痕,False,22,29,110,,29362,1,0,2020-04-29 12:46:41,谢幕！
咆噪的肚子,False,12,38,5,海外 - 阿尔及利亚,2365,5,1,2020-04-29 12:38:58,真的 人间失格里哪有这句话啊[大哭][大哭]
冷逗逗的小狮子,False,35,13,1,江苏省 - 镇江市,2844,9,1,2020-04-29 10:02:45,真的去看一下太宰治的《人间失格》吧，别在网上看这些乱加名号的毒鸡汤。
当年手种红药一壶,True,7,22,5,重庆市 ,1944,1,1,2020-04-29 09:17:16,你不如找个假女朋友，也不用互删[奸笑]
悲伤的头头_z,False,0,1,9,,3653,0,0,2020-04-28 16:09:04,10岁的时候听，听到现在
瀕危物種_-,True,0,6,8,,5141,2,1,2020-04-28 15:21:42,不知不觉六年了。
_忽而半夏,False,61,42,22,,2067,0,0,2020-04-28 13:41:55,留。-
上上签w,False,0,4,1,河南省 - 开封市,1403,1,0,2020-04-28 10:13:55,想起16年的五月，谁知道想要离开的那个人已经难过到什么地步才做出这个决定了呢。每次矛盾时对方的视而不见听而不闻最令人心寒
小耳朵呀呀-,False,24,11,0,辽宁省 - 大连市,3317,0,0,2020-04-28 09:55:14,懦弱真的害人害己
帐号已注销,False,112,20,4,,1474,0,0,2020-04-28 06:33:54,四月一号愚人节，我在五年日记里记了一句歌词“爱是愚人的国度”
哦哈呦ssjy,False,0,3,0,江苏省 - 南京市,476,0,0,2020-04-27 21:25:10,伤感的歌才是最动听的
ySofia,False,4,4,1,北京市 ,1770,1,0,2020-04-27 19:57:28,忘记是第多少次单曲循环。就想试一下：如果两个人到了互相疏远的时候，是该想悲伤又心碎的事情，还是该想，其实曾经有过那么多美丽的时刻。那时候，无论在哪，你的眼里都只有我的时刻。怎么样才能宽慰自己：曾美丽，我满足了。即使答案不清楚，我心甘情愿地谢幕。
今天夜间到明天白天,True,8,38,13,,11826,1,0,2020-04-27 10:11:58,燕姿的写的歌词很能打动我
她与晚安皆已失,True,0,11,2,上海市 ,1687,4,0,2020-04-27 00:53:04,我女朋友说 会有恰到好处的陪伴和莫名其妙的温暖
CANJOYCER,True,3,23,4,云南省 - 红河哈尼族彝族自治州,7232,0,1,2020-04-26 18:23:56,2020年了 还有机会吗
小之之小可爱,True,14,5,2,北京市 ,4976,0,0,2020-04-26 10:01:22,这首歌的旋律好棒~
好好先生-悸,False,1,22,5,上海市 ,4722,0,0,2020-04-26 07:13:09,五年前的歌，我居然今天才听到，我到底还要错过什么
cz_故里,False,8,13,1,浙江省 - 杭州市,5030,0,0,2020-04-25 21:43:48,居然推到了 燕姿姐姐歌 哈哈 很爱[大哭]
噜啦哈o,False,5,48,9,,3969,1,0,2020-04-25 21:17:42,像 爱是迷人的国度
怔怔地,False,3,17,1,湖北省 - 咸宁市,6836,0,1,2020-04-25 21:17:27,喔，是喰种嘛。
是鹿先森吖L,False,28,2,1,浙江省 - 金华市,7429,2,0,2020-04-25 21:10:38,感性告诉我，我是个愚者永远看不清自己想要什么～理性告诉我，我是个智者把什么都看得太清楚。
风知道他从哪来,False,11,152,15,,2556,0,1,2020-04-25 17:18:15,什造！
__虹与霞的相见,False,2,5,1,内蒙古 - 鄂尔多斯市,4295,2,0,2020-04-25 15:36:33,肾虚公子：我发誓对你好，我骗你我是小猪！
知了去海边,True,1,9,0,北京市 ,972,0,0,2020-04-25 00:44:48,要走多久才能走到感情的终点
耗子扛刀去戏猫,False,1,10,2,安徽省 - 合肥市,3559,2,0,2020-04-24 23:31:28,活了二十多年，发现自己一直在自作多情。。。
五五五颗糖,False,3,54,10,江苏省 - 扬州市,2866,0,1,2020-04-24 23:21:20,Woc我也是。这么巧的!!?
我啊_我是_,False,0,32,6,浙江省 - 金华市,679,1,1,2020-04-24 19:44:53,今年的情人节不能陪你，没关系，还有下一个愚人节
子尧九,True,0,10,7,海外 - 其它,14774,0,1,2020-04-24 13:39:44,旋律有些熟悉啊   记不起来了
Alaskan-bear,False,2,34,9,安徽省 - 阜阳市,4199,0,0,2020-04-24 13:09:03,我刚把驾照拿到手，[幽灵]
美佳家,False,12,5,1,甘肃省 - 兰州市,618,0,0,2020-04-24 03:23:13,选择性地活在谎言里最安全，就怕偶尔清醒不能自已
玫瑰少女007,False,0,5,0,广东省 - 广州市,4040,0,0,2020-04-24 02:58:23,听着听着就哭了，长大懂了很多
梦见小鸟,False,1,8,5,湖北省 - 武汉市,2419,0,0,2020-04-24 01:55:44,被她还回的音乐播放器，除了多了一缕久违的芳香，还多了一首愚人的国度
H2o-0905,False,0,17,7,广东省 - 深圳市,2211,0,0,2020-04-23 22:50:29,现在才喜欢孙燕姿还来得及吗
若念-莫离,False,0,14,0,江西省 - 南昌市,3284,0,0,2020-04-23 21:03:46,回不到的最初，那就各自安好吧
杰米-Jamie,False,1,33,4,北京市 ,5511,1,0,2020-04-23 20:38:11,我永远喜欢孙燕姿的声音
meijiul,True,0,0,0,,13156,0,0,2020-04-23 16:12:49,还是这首歌最能表达 有点难过
五香鸡翅,False,1,26,4,江苏省 - 盐城市,5568,0,1,2020-04-23 12:56:46,一眨眼九年过去了
陈二狗的妖孽,False,0,21,3,天津市 ,1551,0,0,2020-04-23 10:13:11,都是演员
荣荣66666_yBGI,True,1,4,0,湖南省 - 长沙市,428,0,0,2020-04-23 00:46:53,好伤感的歌
大概你也曾感动j,False,3,17,1,广东省 - 深圳市,4188,1,0,2020-04-22 21:39:51,我们都回不去最初
大风吹起扶摇直上,False,2,2,0,,255,0,0,2020-04-22 18:00:10,南方的风经不起北方的寒冷 迟到的深情比草都轻贱
斜阳独倚西楼,False,0,32,18,,2788,1,0,2020-04-22 11:22:46,长相思兮长相忆，短相思兮无穷极。早知如此绊人心，何如当初莫相识。
默寻如从前,False,0,28,2,,886,0,0,2020-04-22 10:13:59,明明是爱的
Double_Simple,True,149,27,9,浙江省 - 杭州市,4489,0,1,2020-04-22 10:02:44,我也是 ，我上一首歌刚听完想自由
